685,Walking,1200000000200,0.95,8.47,0.6537767
685,Walking,1200000000350,4.21,15.79,0.9942854
685,Walking,1200000000400,1.65,13.53,-0.6946377
685,Walking,1200000000450,-2.34,13.48,1.4573772
685,Walking,1200000000500,-0.76,10.27,-0.84446156
685,Walking,1200000000550,5.63,17.77,-3.636633
685,Walking,1200000000600,11.07,14.63,0.46309182
685,Walking,1200000000650,2.07,5.48,-3.486809
685,Walking,1200000000700,1.27,4.67,-2.7240696
685,Walking,1200000000750,4.21,3.17,-3.486809
685,Walking,1200000000800,5.56,2.26,-3.8273177
685,Walking,1200000000850,6.24,6.51,1.4982382
685,Walking,1200000000900,2.6,19.0,3.0645783
685,Walking,1200000000950,0.76,11.11,1.6480621
685,Walking,1200000001000,6.09,16.04,-2.1383946
685,Walking,1200000001050,3.45,3.72,-2.1792557
685,Walking,1200000001100,6.28,5.63,-1.7570249
685,Walking,1200000001150,5.37,8.89,-2.3018389
685,Walking,1200000001200,2.91,6.32,-1.607201
685,Walking,1200000001250,2.91,9.04,-1.0351465
685,Walking,1200000001300,1.46,10.38,0.3405087
685,Walking,1200000001350,2.45,10.76,3.1463003
685,Walking,1200000001400,3.64,13.59,-1.334794
685,Walking,1200000001450,-0.42,15.75,-2.2201166
685,Walking,1200000001500,-1.14,13.48,3.173541
685,Walking,1200000001550,-0.27,10.42,-0.95342433
685,Walking,1200000001600,4.86,17.12,-3.486809
685,Walking,1200000001650,11.41,16.7,1.2666923
685,Walking,1200000001700,3.99,5.98,-2.9556155
685,Walking,1200000001750,1.38,4.33,-2.6014864
685,Walking,1200000001800,2.87,2.15,-3.214402
685,Walking,1200000001850,5.41,1.12,-2.7921712
685,Walking,1200000001900,5.28,2.96,-4.2495484
685,Walking,1200000001950,-0.61,19.57,8.240311
685,Walking,1200000002000,2.91,13.06,4.372132
685,Walking,1200000002050,7.46,14.75,-2.4925237
685,Walking,1200000002100,2.68,2.37,-2.6832085
685,Walking,1200000002150,5.71,4.67,-1.7570249
685,Walking,1200000002200,6.4,10.73,-2.1792557
685,Walking,1200000002250,3.41,6.59,-2.1111538
685,Walking,1200000002300,2.98,9.23,-1.2258313
685,Walking,1200000002400,2.15,11.41,4.399372
685,Walking,1200000002500,0.99,14.44,-3.214402
685,Walking,1200000002550,-3.76,14.14,2.6014864
685,Walking,1200000002600,-1.31,10.04,-1.1441092
685,Walking,1200000002650,4.14,18.31,-1.4982382
685,Walking,1200000002700,14.86,19.0,-1.6889231
685,Walking,1200000002750,8.39,6.74,-2.1792557
685,Walking,1200000002800,2.34,2.37,-2.9147544
685,Walking,1200000002850,2.11,2.76,-3.1463003
685,Walking,1200000002900,4.18,0.72,-3.8681788
685,Walking,1200000002950,3.49,2.49,-5.407278
685,Walking,1200000003000,3.83,16.66,9.847511
685,Walking,1200000003050,1.69,10.88,4.2495484
685,Walking,1200000003100,7.46,17.24,-3.6774938
685,Walking,1200000003150,3.49,7.4,-2.070293
685,Walking,1200000003200,4.02,2.87,-2.7513103
685,Walking,1200000003250,7.08,11.65,-3.9771416
685,Walking,1200000003300,4.29,7.35,-2.2609777
